,1,2,3,4,5,6,7,8,9,10,11,12
ap_bicubic,0.004093344657786891,0.02113326267082562,0.20256608781212015,0.18058506561825305,0.20328848461511484,0.20251634078317005,0.20825621885816567,0.20690175145343073,0.21448822879647797,0.2145072327314089,0.21479190776373114,0.21496443558667305
ap_nearest,0.0043120958134537845,0.02334006524991353,0.03393508759226958,0.055424855449454156,0.10365120054977697,0.11940702877459856,0.13874729496079824,0.13600251556065665,0.13330258717952484,0.13356454344195384,0.134479975420676,0.13246303190643427
ap_bilinear,0.02562936684699776,0.02534724566160246,0.036858626872594176,0.03677562234565803,0.13480412883649218,0.17419407586166405,0.18204723131129452,0.18030980373405062,0.1811052213798433,0.18239910486064972,0.18192221007224035,0.18156590944552845
ap50_bicubic,0.019416400487323696,0.07859382490341492,0.5691717841530495,0.5368524070979743,0.5813160081854192,0.5791377844920896,0.5860137852554637,0.5859859926513157,0.5902361861666844,0.5902886643647419,0.5915644237312041,0.5916539966471516
ap50_nearest,0.019386899518034104,0.09270747519832506,0.12452568601319809,0.17540206246181775,0.35715181792935524,0.3938019107842328,0.43924009107697065,0.4401779414279546,0.4329947515534273,0.4354788425795714,0.43576882371129866,0.4334942702540313
ap50_bilinear,0.13508612743799064,0.09658516510919074,0.15837397433078884,0.1376834646720196,0.4409114714094574,0.5522515531237724,0.5564331138184481,0.553102258733333,0.5528381047240347,0.556243739826,0.5556452581209629,0.5545345937903565
ap75_bicubic,0.0001062726722471012,0.0011236986512585907,0.10113206600971354,0.06495065930239924,0.07091560816815395,0.07534459298740914,0.07607710675235883,0.07584669366781933,0.08673669525325627,0.08675251101858379,0.08696831105711707,0.08587408114621532
ap75_nearest,9.3185789167152e-05,0.0014592749762230885,0.004437213270501948,0.012285192112914007,0.024586806702922705,0.0387211962958804,0.03369679961119899,0.03548105856893507,0.03584549365407627,0.036361666219346916,0.03888929136540551,0.03697811471003822
ap75_bilinear,0.002309667585749785,0.0036777467608768103,0.0013460973426535198,0.002346295092428468,0.035761629945739774,0.056429264016683,0.06581220207232535,0.06634612029474575,0.06372700767212638,0.06357660117578419,0.06356028376178738,0.06356545853820601
Maskap_bicubic,1.9514800934543734e-05,0.010945586151492364,0.2259929265678375,0.1541132613306642,0.2309616144982975,0.254443335530165,0.26117014141864614,0.25817581670523465,0.2652765861401656,0.2684432621246519,0.26750880577119185,0.2668781246643876
Maskap_nearest,0.00016436933600657913,0.0020311362915229145,0.03564260080864958,0.034667599476093464,0.09192790243686656,0.1302329109011546,0.1733075615568692,0.16168996725368348,0.16033581936015634,0.1650097303377619,0.16581761406651693,0.16374208598831938
Maskap_bilinear,0.0,0.009861969678352163,1.5235538899158458e-05,0.029575523255415077,0.13799827486479196,0.2053023411816991,0.21259524357075943,0.20994307438158105,0.2150085932836554,0.2157119935616643,0.2158596826601404,0.21524240820344082
Maskap50_bicubic,0.0001593720740283284,0.056081562805855155,0.6284987467559849,0.5359943685026208,0.6830568067863695,0.6913650943431892,0.692543472595004,0.6917052116574165,0.6917416085793077,0.6922733987960269,0.6907417406601964,0.6909757918212289
Maskap50_nearest,0.001623970272219158,0.013307555468172685,0.14156703081380223,0.13635604535914259,0.3271091009265989,0.40960572052772987,0.4717624822072001,0.46396675637534074,0.4632829950665172,0.466125561391236,0.46746643270407956,0.46408614826968125
Maskap50_bilinear,0.0,0.048823478739250074,0.00014039767148070305,0.1566212866713436,0.4418588289761171,0.6302342792561755,0.6429841215744978,0.6411103016595366,0.6482876475493691,0.6512851490994119,0.6515468770276104,0.6507622689867321
Maskap75_bicubic,0.0,9.076812872504353e-05,0.06064200437393977,0.003938585254486818,0.0479223333085408,0.09195836715111556,0.10878850826652751,0.10776934687402243,0.11065279557682436,0.13204246331737685,0.1319149275130266,0.12963503175731858
Maskap75_nearest,0.0,0.0,0.002706603629624938,0.0026956200801307355,0.008712435128871423,0.021403687095829352,0.08234806338233876,0.047999456735068426,0.04629195734091688,0.04674083594073484,0.04969505752403965,0.047593321337898994
Maskap75_bilinear,0.0,9.262880550009263e-05,0.0,0.000395031256703851,0.010733087868811575,0.05370336019560286,0.05914275423723841,0.058078458765600825,0.060551456733626566,0.06066352320520691,0.06151333264904381,0.06137319594570001
